Chr	Gene_l	Gene_r	Gene_type	Gene	Strand	Gene_length	Counts	RPKM	TPM
chr2	87710972	87711904	protein_coding	Olfr1137	-	933	0	0.00	0.0
chr2	87737387	87738322	protein_coding	Olfr1138	-	936	0	0.00	0.0
chr2	87746161	87747180	protein_coding	Olfr1140	+	1020	0	0.00	0.0
chr2	87753056	87753991	protein_coding	Olfr1141	-	936	0	0.00	0.0
chr2	87782536	87783486	protein_coding	Olfr152	+	951	0	0.00	0.0
chr2	87802391	87803335	protein_coding	Olfr1143	+	945	0	0.00	0.0
chr2	87809822	87810799	protein_coding	Olfr1145	+	978	0	0.00	0.0
chr2	87833041	87833985	protein_coding	Olfr1148	+	945	1	0.01	0.012191971798768145
chr2	87857177	87858103	protein_coding	Olfr1151	+	927	0	0.00	0.0
chr2	87867993	87868925	protein_coding	Olfr1152	+	933	1	0.01	0.012348781725440405
chr2	87896177	87897133	protein_coding	Olfr1153	+	957	0	0.00	0.0
chr2	87902742	87903674	protein_coding	Olfr1154	-	933	0	0.00	0.0
chr2	87942682	87943626	protein_coding	Olfr1155	-	945	0	0.00	0.0
chr2	87949190	87950265	protein_coding	Olfr1156	-	1076	0	0.00	0.0
chr2	87961952	87968257	protein_coding	Olfr1157	-	1135	0	0.00	0.0
chr2	87973707	87974663	protein_coding	Olfr74	-	957	0	0.00	0.0
chr2	87990113	87991054	protein_coding	Olfr1158	+	942	1	0.01	0.012230799734433011
chr2	88005817	88006776	protein_coding	Olfr1160	-	960	1	0.01	0.012001472239412394
chr2	88024702	88025713	protein_coding	Olfr1161	+	1012	0	0.00	0.0
chr2	88034196	88035137	protein_coding	Olfr73	-	942	0	0.00	0.0
chr2	88049678	88050622	protein_coding	Olfr1162	-	945	0	0.00	0.0
chr2	88070365	88071407	protein_coding	Olfr1163	-	1043	0	0.00	0.0
chr2	88092855	88093966	protein_coding	Olfr1164	-	1112	1	0.00	0.010360983228269692
chr2	88123360	88124993	protein_coding	Olfr1166	-	1634	0	0.00	0.0
chr2	88148984	88150083	protein_coding	Olfr1167	-	1100	0	0.00	0.0
chr2	88184879	88185817	protein_coding	Olfr1168	+	939	0	0.00	0.0
chr2	88224080	88225030	protein_coding	Olfr1170	-	951	0	0.00	0.0
chr2	88274109	88275047	protein_coding	Olfr1173	-	939	0	0.00	0.0
chr2	88339567	88340514	protein_coding	Olfr1176	+	948	0	0.00	0.0
chr2	88391249	88392220	protein_coding	Olfr1178	+	972	1	0.01	0.011853305915469032
chr2	88402009	88402932	protein_coding	Olfr1179	-	924	0	0.00	0.0
chr2	88411627	88412689	protein_coding	Olfr1180	-	1063	0	0.00	0.0
chr2	88423088	88424023	protein_coding	Olfr1181	-	936	0	0.00	0.0
chr2	88446019	88449121	protein_coding	Olfr1182	-	1178	0	0.00	0.0
chr2	88461342	88462253	protein_coding	Olfr1183	+	912	0	0.00	0.0
chr2	88486734	88487669	protein_coding	Olfr1184	+	936	0	0.00	0.0
chr2	88525501	88526590	protein_coding	Olfr1186	+	1090	1	0.00	0.010570103990675137
chr2	88559451	88560418	protein_coding	Olfr1188	+	968	0	0.00	0.0
chr2	88591806	88592726	protein_coding	Olfr1189	+	921	0	0.00	0.0
chr2	88677857	88678813	protein_coding	Olfr1193	+	957	0	0.00	0.0
chr2	88682804	88683730	protein_coding	Olfr1195	-	927	0	0.00	0.0
chr2	88700383	88701327	protein_coding	Olfr1196	-	945	0	0.00	0.0
chr2	88728653	88729597	protein_coding	Olfr1197	-	945	0	0.00	0.0
chr2	88745960	88746886	protein_coding	Olfr1198	-	927	0	0.00	0.0
chr2	88755741	88760485	protein_coding	Olfr1199	-	1468	0	0.00	0.0
chr2	88767303	88768313	protein_coding	Olfr1200	-	1011	0	0.00	0.0
chr2	88794384	88795307	protein_coding	Olfr1201	+	924	1	0.01	0.012469062066921966
chr2	88812801	88818102	protein_coding	Olfr1202	+	1174	0	0.00	0.0
chr2	88829757	88832042	protein_coding	Olfr1205	+	1067	1	0.00	0.01079795065589119
chr2	88851952	88852881	protein_coding	Olfr1204	+	930	1	0.01	0.012388616505199889
chr2	88864607	88865530	protein_coding	Olfr1206	+	924	190	1.03	2.3691217927151738
chr2	88896574	88897648	protein_coding	Olfr1208	-	1075	0	0.00	0.0
chr2	88909459	88910391	protein_coding	Olfr1209	-	933	1	0.01	0.012348781725440405
chr2	88929378	88934526	protein_coding	Olfr1211	-	957	0	0.00	0.0
chr2	88958468	88959403	protein_coding	Olfr1212	+	936	0	0.00	0.0
chr2	88972954	88980267	protein_coding	Olfr1213	-	1297	0	0.00	0.0
chr2	88987265	88988200	protein_coding	Olfr1214	-	936	0	0.00	0.0
chr2	89001348	89002290	protein_coding	Olfr1215	-	943	0	0.00	0.0
chr2	89013127	89014062	protein_coding	Olfr1216	-	936	0	0.00	0.0
chr2	89022995	89024099	protein_coding	Olfr1217	-	1105	0	0.00	0.0
chr2	89054489	89055424	protein_coding	Olfr1218	-	936	0	0.00	0.0
chr2	89074154	89075089	protein_coding	Olfr1219	-	936	0	0.00	0.0
chr2	89096938	89097963	protein_coding	Olfr1220	-	1026	0	0.00	0.0
chr2	89111575	89112510	protein_coding	Olfr1221	-	936	0	0.00	0.0
chr2	89124794	89125729	protein_coding	Olfr1222	-	936	0	0.00	0.0
chr2	89144086	89151336	protein_coding	Olfr1223	-	1531	1	0.00	0.007525416949598887
chr2	89170219	89171245	protein_coding	Olfr1225	-	1027	0	0.00	0.0
chr2	89193100	89194032	protein_coding	Olfr1226	-	933	1	0.01	0.012348781725440405
chr2	89248721	89249692	protein_coding	Olfr1228	-	972	0	0.00	0.0
chr2	89282196	89283131	protein_coding	Olfr1229	-	936	0	0.00	0.0
chr2	89296351	89297268	protein_coding	Olfr1230	-	918	1	0.01	0.01255055920461427
chr2	89302649	89303590	protein_coding	Olfr1231	-	942	0	0.00	0.0
chr2	89325243	89326178	protein_coding	Olfr1232	-	936	2	0.01	0.024618404593666453
chr2	89339306	89342391	protein_coding	Olfr1233	-	1074	0	0.00	0.0
chr2	89362483	89373646	protein_coding	Olfr1234	-	984	0	0.00	0.0
chr2	89406130	89407077	protein_coding	Olfr1238	-	948	0	0.00	0.0
chr2	89417494	89418411	protein_coding	Olfr1239	-	918	0	0.00	0.0
chr2	89439270	89440343	protein_coding	Olfr1240	-	1074	1	0.00	0.010727572951430071
chr2	89477284	89483133	protein_coding	Olfr1241	-	976	0	0.00	0.0
chr2	89493294	89494346	protein_coding	Olfr1242	-	1053	0	0.00	0.0
chr2	89527491	89528408	protein_coding	Olfr1243	-	918	0	0.00	0.0
chr2	89574712	89575773	protein_coding	Olfr1245	-	1062	0	0.00	0.0
chr2	89590069	89591146	protein_coding	Olfr1246	-	1078	1	0.00	0.010687767485933114
chr2	89609089	89610153	protein_coding	Olfr1247	-	1065	16	0.08	0.17309165595997592
chr2	89617168	89618245	protein_coding	Olfr1248	-	1078	0	0.00	0.0
chr2	89629940	89630896	protein_coding	Olfr1249	-	957	0	0.00	0.0
chr2	89656495	89657439	protein_coding	Olfr1250	-	945	0	0.00	0.0
chr2	89666928	89667884	protein_coding	Olfr1251	-	957	0	0.00	0.0
chr2	89721165	89722109	protein_coding	Olfr1252	-	945	0	0.00	0.0
chr2	89751870	89752826	protein_coding	Olfr1253	-	957	0	0.00	0.0
chr2	89788406	89789350	protein_coding	Olfr1254	-	945	0	0.00	0.0
chr2	89816328	89817260	protein_coding	Olfr1255	+	933	0	0.00	0.0
chr2	89835023	89835943	protein_coding	Olfr1256	-	921	0	0.00	0.0
chr2	89844066	89844971	protein_coding	Olfr48	-	906	7	0.04	0.0890175424380257
chr2	89880828	89881757	protein_coding	Olfr1257	+	930	1	0.01	0.012388616505199889
chr2	89921944	89930746	protein_coding	Olfr1258	+	958	1	0.01	0.012026527505047907
chr2	89943184	89944113	protein_coding	Olfr1259	-	930	0	0.00	0.0
chr2	89977780	89978712	protein_coding	Olfr1260	+	933	0	0.00	0.0
chr2	89993395	89994315	protein_coding	Olfr1261	+	921	0	0.00	0.0
chr2	90002408	90003322	protein_coding	Olfr1262	+	915	0	0.00	0.0
chr2	90014932	90015852	protein_coding	Olfr1263	+	921	0	0.00	0.0
chr2	90021138	90022064	protein_coding	Olfr1264	-	927	0	0.00	0.0
chr2	90036921	90037850	protein_coding	Olfr1265	+	930	0	0.00	0.0
chr2	90051414	90052322	protein_coding	Olfr140	-	909	1	0.01	0.01267482216703619
chr2	90118667	90119596	protein_coding	Olfr1269	-	930	1	0.01	0.012388616505199889
chr2	90138081	90149990	protein_coding	Olfr32	-	1395	0	0.00	0.0
chr2	90149019	90150036	protein_coding	Olfr1270	-	1018	1	0.00	0.011317694842667874
chr2	90193044	90195174	lncRNA	Gm38718	+	1952	0	0.00	0.0
chr2	90217395	90224471	protein_coding	Olfr1506	-	1101	0	0.00	0.0
chr2	90252069	90252986	protein_coding	Olfr142	-	918	1	0.01	0.01255055920461427
chr2	90265511	90266428	protein_coding	Olfr1271	-	918	0	0.00	0.0
chr2	90281647	90282573	protein_coding	Olfr1272	-	927	1	0.01	0.012428709115249077
chr2	90295936	90296859	transcribed_pseudogene	Olfr1273-ps	-	924	0	0.00	0.0
chr2	90322222	90329298	protein_coding	Olfr1565	+	1101	0	0.00	0.0
chr2	90351519	90353649	lncRNA	Gm39869	-	1952	0	0.00	0.0
chr2	90400640	90401674	protein_coding	Olfr1274-ps	+	1035	0	0.00	0.0
chr2	90429756	90580694	protein_coding	Ptprj	-	8307	6190	3.72	8.585235179425087
chr2	90580527	90584989	protein_coding	Gm46752	+	862	15	0.09	0.20048863137765482
chr2	90624573	90628397	lncRNA	Gm39870	+	588	17	0.14	0.3331020866449154
chr2	90636116	90670296	lncRNA	Gm39871	-	812	21	0.13	0.297967586633687
chr2	90677215	90739327	protein_coding	Nup160	+	10199	13269	6.50	14.989472863905531
chr2	90716406	90735417	lncRNA	Gm39872	-	2817	44	0.08	0.17995817798820712
chr2	90745454	90781021	protein_coding	Fnbp4	+	6425	11768	9.15	21.102566895076862
chr2	90782685	90834437	protein_coding	Agbl2	+	6217	10	0.01	0.018532110905317513
chr2	90847090	90866810	protein_coding	Mtch2	+	2712	19606	36.11	83.29234149590066
chr2	90882788	90890526	protein_coding	C1qtnf4	+	6419	14	0.01	0.02512849149364427
chr2	90894627	90904721	protein_coding	Ndufs3	-	949	9250	48.68	112.30039355740995
chr2	90904740	90910561	protein_coding	Kbtbd4	+	2594	5241	10.09	23.278229516765588
chr2	90910713	90918050	protein_coding	Ptpmt1	-	1319	5784	21.90	50.52301350678608
chr2	90940259	91019497	protein_coding	Celf1	+	8106	28603	17.62	40.6546985005374
chr2	91031798	91054009	misc_RNA	LOC102632821	-	10263	95	0.05	0.10664856944698531
chr2	91035472	91045729	protein_coding	Rapsn	+	1775	211	0.59	1.3695877277833093
chr2	91054016	91059438	protein_coding	Psmc3	+	1635	23498	71.78	165.58420238192286
chr2	91061781	91070441	protein_coding	Slc39a13	-	5936	21128	17.78	41.008157219564154
chr2	91070266	91071623	lncRNA	Gm39874	+	799	43	0.27	0.6200510313428581
chr2	91082368	91115759	protein_coding	Spi1	+	1990	350	0.88	2.0263792323831984
chr2	91118114	91136516	protein_coding	Mybpc3	+	4205	8	0.01	0.021919454648914906
chr2	91137360	91184006	protein_coding	Madd	-	6479	2095	1.61	3.725476303118723
chr2	91184061	91202829	protein_coding	Nr1h3	-	2167	29	0.07	0.154185965456964
chr2	91200164	91200267	snRNA	LOC115489576	+	104	0	0.00	0.0
chr2	91202812	91214098	protein_coding	Acp2	+	4832	5159	5.33	12.301111645654677
chr2	91211545	91237132	protein_coding	Ddb2	-	2018	1076	2.66	6.143231300507148
chr2	91237146	91238357	lncRNA	A330069E16Rik	+	892	255	1.43	3.293677583192997
chr2	91242718	91249061	lncRNA	Gm31054	+	415	41	0.49	1.138260114080173
chr2	91255875	91264680	protein_coding	Pacsin3	+	3131	4203	6.70	15.466145100402516
chr2	91265115	91277371	protein_coding	Arfgap2	+	3409	3295	4.83	11.136127013115072
chr2	91273240	91444714	protein_coding	1110051M20Rik	-	6079	4582	3.76	8.68417765569141
chr2	91457456	91513901	protein_coding	Lrp4	+	9521	1838	0.96	2.224173693624449
chr2	91526747	91620679	protein_coding	Ckap5	+	7045	33135	23.49	54.189074712109644
chr2	91596081	91596178	snoRNA	Snord67	+	98	6	0.31	0.7053926540715855
chr2	91612397	91636457	protein_coding	F2	-	2494	20	0.04	0.09239305011897271
chr2	91642756	91650051	protein_coding	Zfp408	-	5870	3256	2.77	6.3907532993297576
chr2	91650118	91672325	protein_coding	Arhgap1	+	4730	15130	15.98	36.853907818819685
chr2	91674612	91710597	protein_coding	Atg13	-	3788	9270	12.22	28.19522221567549
chr2	91710852	91723671	protein_coding	Harbi1	+	6215	1578	1.27	2.925308168309098
chr2	91730138	91918849	protein_coding	Ambra1	+	5290	9662	9.12	21.043458560702163
chr2	91922189	91929835	protein_coding	Chrm4	+	3689	33	0.04	0.10306496084157891
chr2	91929805	91932297	protein_coding	Mdk	-	1406	33	0.12	0.27041724078562207
chr2	91932217	91934516	lncRNA	Gm39876	+	1963	32	0.08	0.18781723239671355
chr2	91932822	91976443	protein_coding	Dgkz	-	11004	7408	3.36	7.756327707704864
chr2	91944870	91944930	miRNA	Mir6999	-	61	1	0.08	0.1888756286858344
chr2	91982328	92024170	protein_coding	Creb3l1	-	2271	25	0.05	0.12683193912192756
chr2	92028095	92045252	lncRNA	Gm31473	+	2931	3	0.01	0.011792644165645749
chr2	92163355	92177501	lncRNA	Gm39877	-	498	1	0.01	0.023135368172361236
chr2	92183751	92364667	protein_coding	Phf21a	+	11485	8600	3.74	8.627266417813559
chr2	92191977	92192074	miRNA	Mir1955	+	98	1	0.05	0.11756544234526424
chr2	92365046	92371086	protein_coding	Large2	-	2826	35	0.06	0.14269266356838514
chr2	92374676	92381220	protein_coding	Pex16	+	1608	1412	4.39	10.117061971373314
chr2	92382918	92383603	protein_coding	1700029I15Rik	+	364	40	0.55	1.2660893791028458
chr2	92383671	92401346	protein_coding	Mapk8ip1	-	3913	2922	3.73	8.60351899008957
chr2	92387384	92387446	miRNA	Mir7000	-	63	0	0.00	0.0
chr2	92403646	92434085	protein_coding	Cry2	-	4142	2360	2.85	6.564590899471925
chr2	92408892	92432308	lncRNA	D930015M05Rik	+	1190	46	0.19	0.4453655580608834
chr2	92452764	92460518	protein_coding	Slc35c1	-	3255	3532	5.42	12.501883856104573
chr2	92525051	92541039	lncRNA	Gm13817	-	6028	16	0.01	0.030581057332013002
chr2	92592206	92592277	miRNA	Mir7221	+	72	0	0.00	0.0
chr2	92594602	92594676	miRNA	Mir7222	+	75	0	0.00	0.0
chr2	92599632	92615252	protein_coding	Chst1	+	3070	7792	12.68	29.242623069029744
chr2	92742230	92760040	lncRNA	Gm13816	+	2462	443	0.90	2.073105651493624
chr2	92779422	92848832	lncRNA	Gm39880	+	1598	2	0.01	0.014419791426578095
chr2	92806887	92811719	lncRNA	Gm32413	+	792	12	0.08	0.17456686893690754
chr2	92812947	92919952	lncRNA	Gm13791	-	8824	78	0.04	0.10184386233989122
chr2	92915101	92956051	protein_coding	Syt13	+	3751	15327	20.41	47.077766572363316
chr2	92965151	93046480	protein_coding	Prdm11	-	17803	3934	1.10	2.5459327146129542
chr2	93029348	93033445	lncRNA	4631405J19Rik	+	1231	29	0.12	0.27142241035356707
chr2	93144194	93152892	lncRNA	Gm32627	+	1172	1	0.00	0.009830557465730288
chr2	93146228	93149249	lncRNA	1700055L01Rik	+	2606	2	0.00	0.008842220529421256
chr2	93179725	93184914	lncRNA	Gm32683	+	333	0	0.00	0.0
chr2	93187349	93201757	protein_coding	Trp53i11	+	6784	123	0.09	0.20889354982750816
chr2	93201760	93334551	protein_coding	Tspan18	-	5724	6793	5.93	13.673123844415663
chr2	93219210	93248107	lncRNA	Gm32824	+	1340	11	0.04	0.09457876630462304
chr2	93257980	93259160	lncRNA	Gm39882	+	888	3	0.02	0.038923693749445605
chr2	93312492	93323312	lncRNA	Gm39881	+	1045	3	0.01	0.033075827798571954
chr2	93338779	93353922	lncRNA	Gm32745	-	4957	5	0.01	0.011621357020209699
chr2	93403547	93417830	lncRNA	Gm13807	+	1295	90	0.35	0.8007159857028808
chr2	93419102	93462950	protein_coding	Cd82	-	2132	12198	28.57	65.91848031955828
chr2	93421929	93422007	miRNA	Mir7001	-	79	9	0.57	1.312566077829406
chr2	93452819	93469874	lncRNA	Gm10804	+	2923	19	0.03	0.07489115759387001
chr2	93524855	93527669	lncRNA	Gm33010	-	338	1	0.01	0.034087021745076614
chr2	93580471	93582712	lncRNA	Gm33061	+	254	0	0.00	0.0
chr2	93642434	93681341	protein_coding	Alx4	+	5205	28	0.03	0.061978784590855936
chr2	93695631	93822568	protein_coding	Ext2	-	4929	16377	16.59	38.28082500106766
chr2	93718955	93721441	lncRNA	Gm39883	-	1679	22	0.07	0.15096551143322795
chr2	93833467	93849997	protein_coding	Accs	-	7000	1351	0.96	2.223632776518328
chr2	93855360	93930482	protein_coding	Accsl	-	3017	28	0.05	0.10692727006808257
chr2	93942133	93952767	lncRNA	Gm39884	+	4889	10	0.01	0.023565991715761708
chr2	93951305	93957520	lncRNA	Gm33160	-	614	0	0.00	0.0
chr2	93955810	93957100	protein_coding	Gm13889	-	1291	28	0.11	0.24988348086398537
chr2	93980034	93983575	lncRNA	Alkbh3os1	+	1550	99	0.32	0.7358838204088735
chr2	93980624	94010824	protein_coding	Alkbh3	-	12099	5417	2.24	5.158401199773622
chr2	94032697	94157909	protein_coding	Hsd17b12	-	1839	20021	54.37	125.43241798644073
chr2	94158164	94168525	lncRNA	Gm39885	+	1858	15	0.04	0.09301463953042974
chr2	94160636	94265103	lncRNA	Mir670hg	-	10812	27	0.01	0.028771564969068558
chr2	94241364	94241453	miRNA	Mir129-2	-	90	0	0.00	0.0
chr2	94241378	94241442	miRNA	Mir129b	+	65	0	0.00	0.0
chr2	94261300	94261399	miRNA	Mir670	-	100	0	0.00	0.0
chr2	94300766	94406710	protein_coding	Ttc17	-	6867	6130	4.46	10.28487896235533
chr2	94406707	94411682	lncRNA	2810002D19Rik	+	1484	500	1.68	3.8818778132870273
chr2	94411727	94438186	protein_coding	Api5	-	3797	25809	33.95	78.31344670685137
chr2	94621958	94622088	snoRNA	LOC115486150	+	131	0	0.00	0.0
chr2	94726525	94755691	lncRNA	Gm33540	+	100	60	3.00	6.912848009901539
chr2	94729014	94730748	lncRNA	Gm13793	-	448	1	0.01	0.025717440513026553
chr2	94792205	94792336	snoRNA	LOC115486139	-	132	0	0.00	0.0
chr2	94806263	94807044	lncRNA	Gm46754	+	211	4	0.09	0.21841541895423505
chr2	95394242	95569603	lncRNA	Gm13794	+	2446	0	0.00	0.0
chr2	95838088	95840594	lncRNA	Gm13799	+	838	1	0.01	0.013748703281427088
chr2	96318169	97631672	protein_coding	Lrrc4c	+	24311	41	0.01	0.019430625944768697
chr2	97237818	97237946	snoRNA	LOC115486174	+	129	0	0.00	0.0
chr2	98702599	98710391	lncRNA	Gm33780	-	761	15	0.10	0.2270975036104316
chr2	101413261	101458277	lncRNA	Gm39886	-	925	1	0.01	0.012455581999822591
chr2	101549837	101557787	lncRNA	Gm39887	-	3920	31	0.04	0.09111321781757979
chr2	101560779	101629031	protein_coding	B230118H07Rik	-	2580	2947	5.70	13.160312070529608
chr2	101624712	101632528	protein_coding	Rag2	+	3610	8	0.01	0.025532217949774845
chr2	101638252	101649532	protein_coding	Rag1	-	6669	6	0.00	0.010365644039438505
chr2	101657856	101665715	lncRNA	Gm34041	-	626	0	0.00	0.0
chr2	101678420	101701668	protein_coding	Traf6	+	6188	4632	3.74	8.624302947065267
chr2	101713110	101883052	protein_coding	Prr5l	-	7710	213	0.14	0.31829585519001896
chr2	101886262	101901639	protein_coding	Commd9	+	1175	3236	13.75	31.73046263835656
chr2	101950201	102186460	protein_coding	Ldlrad3	-	3992	2363	2.96	6.819914765947452
chr2	101991930	102012609	lncRNA	Gm39888	+	4279	3	0.00	0.008077644320988009
chr2	102057488	102067979	lncRNA	LOC102643083	+	8311	13	0.01	0.018021702989756545
chr2	102241935	102246963	lncRNA	Gm34268	-	2710	1	0.00	0.004251444040529851
chr2	102300119	102400900	protein_coding	Trim44	-	5612	17596	15.66	36.124516982129805
chr2	102366244	102370703	lncRNA	LOC115489465	+	523	1	0.01	0.02202947103219101
chr2	102407391	102412267	lncRNA	Gm39890	-	690	0	0.00	0.0
chr2	102449366	102451792	protein_coding	Fjx1	-	2427	22	0.05	0.10443802789303244
chr2	102549939	102643041	protein_coding	Pamr1	+	3838	1	0.00	0.0030019315658769926
chr2	102658239	102790784	protein_coding	Slc1a2	+	13288	165	0.06	0.14306390748968414
chr2	102659308	102682606	lncRNA	LOC115489466	+	22658	39	0.01	0.019831190777809163
chr2	102743651	102746760	lncRNA	Gm13872	-	1644	1	0.00	0.007008158971919645
chr2	102811141	102901669	protein_coding	Cd44	-	5746	27380	23.80	54.90015619883516
chr2	102897960	102898066	snRNA	LOC115489663	+	107	4	0.19	0.43070704111536057
chr2	102941062	102960573	lncRNA	Gm34483	+	911	1	0.01	0.012646995993233698
chr2	103021055	103073513	protein_coding	Pdhx	-	2526	6092	12.04	27.786401475534554
chr2	103073675	103092649	protein_coding	Apip	+	924	2907	15.71	36.24756342854216
chr2	103206209	103210357	lncRNA	Gm13869	-	1054	2	0.01	0.021862264420940983
chr2	103263431	103303275	protein_coding	Ehf	-	4740	816	0.86	1.983433184275547
chr2	103338601	103372764	lncRNA	A930006I01Rik	-	2229	21	0.05	0.10854628997153605
chr2	103377643	103389044	lncRNA	BC016548	-	1178	7	0.03	0.06846340700242044
chr2	103411693	103450989	protein_coding	Elf5	+	2743	10	0.02	0.042002965183506734
chr2	103453904	103485153	protein_coding	Cat	-	2551	6664	13.05	30.09749061674105
chr2	103566310	103718423	protein_coding	Abtb2	+	4558	5385	5.90	13.61184969040507
chr2	103572129	103644781	lncRNA	8030431J09Rik	+	72235	2542	0.18	0.40544656655752537
chr2	103721258	103762954	protein_coding	Nat10	-	6257	8101	6.47	14.916888212725045
chr2	103762945	103797669	protein_coding	Caprin1	-	7688	83960	54.54	125.82438408587694
chr2	103804452	103810622	lncRNA	4930547E08Rik	-	541	0	0.00	0.0
chr2	103884992	103896266	lncRNA	Gm34948	-	827	0	0.00	0.0
chr2	103894060	103896188	lncRNA	Gm39895	+	1816	2	0.01	0.012688781222286232
chr2	103900951	103913968	lncRNA	Lincred1	+	4916	1	0.00	0.0023436560923181236
chr2	103936203	103950816	lncRNA	Gm39896	+	749	5	0.03	0.07691197162774298
chr2	103957903	103981878	protein_coding	Lmo2	+	2575	15	0.03	0.06711502922234504
chr2	103966943	103980877	lncRNA	Gm38515	-	3324	4	0.01	0.013864516666469193
chr2	103992493	104028361	protein_coding	4931422A03Rik	-	1121	37	0.16	0.3802785851417736
chr2	104027799	104063237	protein_coding	Fbxo3	+	6260	7952	6.34	14.635507820750009
chr2	104040669	104040807	guide_RNA	LOC115489635	+	139	14	0.50	1.1604301215662054
chr2	104069781	104085790	protein_coding	Cd59b	+	2744	15	0.03	0.06298148697067728
chr2	104095753	104115410	protein_coding	Cd59a	+	3454	391	0.57	1.3042480080445384
chr2	104122769	104124746	protein_coding	A930018P22Rik	+	819	6	0.04	0.08440595860685639
chr2	104143073	104411870	protein_coding	D430041D05Rik	-	14186	23	0.01	0.01867986092247467
chr2	104228112	104228238	snoRNA	LOC115486171	-	127	0	0.00	0.0
chr2	104413523	104416205	lncRNA	Gm35606	+	762	1	0.01	0.01511996502603136
chr2	104426481	104494489	protein_coding	Hipk3	-	7497	14941	9.95	22.96137613177246
chr2	104428861	104428940	miRNA	Mir1902	-	80	0	0.00	0.0
chr2	104556658	104557719	transcribed_pseudogene	Gm13884	+	1062	6	0.03	0.06509273079003332
chr2	104559184	104571429	lncRNA	Platr14	+	1145	9	0.04	0.0905613276406315
chr2	104578945	104579076	snoRNA	LOC115486140	+	132	0	0.00	0.0
chr2	104590484	104665425	protein_coding	Cstf3	+	5190	7111	6.84	15.785890237125832
chr2	104667242	104712169	protein_coding	Tcp11l1	-	16262	4134	1.27	2.92888468750594
chr2	104711609	104712768	protein_coding	Gm6306	+	1160	8	0.03	0.07945802310231653
chr2	104713887	104716362	protein_coding	Pin1rt1	-	1156	327	1.41	3.2590849181629227
chr2	104721784	104742857	protein_coding	Depdc7	-	1780	896	2.51	5.799542899692677
chr2	104754793	104818680	protein_coding	Qser1	-	11454	14634	6.38	14.720129471058018
chr2	104816922	104830673	lncRNA	LOC115489467	+	4425	81	0.09	0.21090044775970793
chr2	104818831	104819206	lncRNA	Gm39898	+	338	8	0.12	0.2726961739606129
chr2	104830741	104849872	protein_coding	Prrg4	-	3213	25	0.04	0.08964685146153048
chr2	104886324	104999737	protein_coding	Ccdc73	+	3944	259	0.33	0.756603969981617
chr2	104999656	105017027	protein_coding	Eif3m	-	1230	14641	59.45	137.14228687394095
chr2	105016294	105020730	protein_coding	Gm38521	+	3971	68	0.09	0.19729441143007834
chr2	105076538	105126510	lncRNA	Wt1os	-	3267	3	0.00	0.010579810238600456
chr2	105126529	105173614	protein_coding	Wt1	+	3092	52	0.08	0.19376244960914182
chr2	105224342	105379860	protein_coding	Them7	+	1598	3	0.01	0.02162968713986714
chr2	105385948	105399319	protein_coding	Rcn1	-	3063	23067	37.61	86.7660599871579
chr2	105429368	105442551	lncRNA	Gm39900	+	4353	190	0.22	0.5028873274681417
chr2	105476389	105549647	lncRNA	4930527A07Rik	+	860	0	0.00	0.0
chr2	105536080	105670330	lncRNA	Pax6os1	-	1464	7	0.02	0.05508872503336837
chr2	105611515	105620482	lncRNA	Gm35946	+	2934	6	0.01	0.02356117249455194
chr2	105657862	105661343	lncRNA	Paupar	-	3482	7	0.01	0.023161945275373717
chr2	105668896	105698410	protein_coding	Pax6	+	4761	19	0.02	0.04597917530915397
chr2	105697320	105904564	protein_coding	Elp4	-	6755	3611	2.67	6.158967225204653
chr2	105904638	105965558	protein_coding	Immp1l	+	955	3627	18.97	43.757242115031204
chr2	105966708	106003549	protein_coding	Dnajc24	-	1198	1552	6.47	14.925904439854184
chr2	106080864	106409743	protein_coding	Dcdc5	+	9958	5	0.00	0.005785003690417703
chr2	106372228	106429230	lncRNA	Gm46755	-	436	0	0.00	0.0
chr2	106410026	106430296	lncRNA	Gm36036	+	6093	3	0.00	0.005672778606516936
chr2	106463823	106523103	lncRNA	Gm14015	-	3949	3	0.00	0.008752656381237706
chr2	106547309	106566843	lncRNA	Gm36544	+	449	3	0.03	0.0769804900879904
chr2	106642917	106650364	lncRNA	BB218582	-	1024	74	0.36	0.8326021366092348
chr2	106693181	106868361	protein_coding	Mpped2	+	5242	732	0.70	1.6088658092483548
chr2	106729259	106739709	lncRNA	Gm29885	-	7725	4	0.00	0.005965780375319558
chr2	106809335	106809458	guide_RNA	LOC115489605	+	124	1	0.04	0.09291462378899916
chr2	106818050	106818747	misc_RNA	C130023O10Rik	+	698	1	0.01	0.01650632285076776
chr2	106955781	106958634	lncRNA	Gm39902	+	1004	4	0.02	0.04590204521846971
chr2	106962529	106974397	protein_coding	Arl14ep	-	3666	6953	9.47	21.851714954012273
chr2	107055986	107059651	protein_coding	Fshb	-	1749	1	0.00	0.006587429016487076
chr2	107290589	107326804	protein_coding	Kcna4	+	33502	28	0.00	0.009629263142361804
chr2	107729531	107799327	lncRNA	Gm39903	+	1838	149	0.40	0.9339992323860439
chr2	107886508	107886639	snoRNA	LOC115486136	-	132	0	0.00	0.0
chr2	107923326	107930302	lncRNA	Gm39904	+	613	0	0.00	0.0
chr2	108079912	108080042	snoRNA	LOC115486138	-	131	0	0.00	0.0
